23069,0,1
23594,2,2
24444,2,1
24062,1,2
24138,1,1
23071,0,1
23397,1,0
23559,2,2
23340,0,0
23269,0,0
23948,2,1
24307,0,0
24090,1,2
24378,0,0
24511,0,0
23536,2,1
23883,2,2
23495,0,0
23751,1,1
22956,1,1
23728,1,2
23289,1,2
24480,1,0
24627,2,2
23389,2,2
23937,1,1
24746,0,1
23784,0,1
23292,1,2
23436,1,1
24731,1,1
22982,1,0
24059,1,1
24287,2,2
23055,1,1
23152,0,1
24079,2,2
23859,1,1
23106,0,1
23463,1,1
23899,0,1
24472,1,1
23327,0,1
24587,2,1
23239,1,1
23870,1,2
24688,1,1
24459,0,1
23344,1,1
23461,0,0
23175,0,1
23646,2,2
23776,2,1
23076,1,1
23153,1,2
24275,2,2
24290,2,1
24331,0,0
23062,1,1
24646,1,1
23908,1,2
23793,1,1
23819,1,0
23677,2,2
23834,1,1
24301,1,1
24698,0,1
23145,1,1
23341,0,0
23785,1,2
24463,0,0
23449,1,0
23920,1,1
24132,1,1
24121,1,1
24433,1,1
23222,0,1
24523,2,2
23390,2,2
23946,1,2
24322,0,1
23522,1,0
23439,0,1
24004,1,2
24483,0,1
23628,0,1
23016,2,1
23090,0,0
23420,2,1
23072,1,0
24244,2,2
24401,2,2
23097,1,2
22966,1,1
24718,2,2
24157,1,1
23423,1,0
24086,1,2
24156,2,2
22995,1,2
23644,2,2
23083,2,2
23412,0,1
23459,2,1
23199,1,2
23876,1,1
24011,1,0
23849,1,0
23716,0,1
24722,2,2
24327,2,2
24711,0,0
23590,1,1
24412,1,1
23363,0,1
24364,2,2
24690,2,0
24498,2,1
24542,0,1
23385,0,1
23818,2,2
24194,1,1
24032,2,2
24613,1,1
23290,1,1
24077,2,2
23925,2,2
24303,2,1
23214,1,1
23209,0,1
24520,0,0
24042,1,1
24509,2,2
23093,1,2
23947,2,2
24450,0,1
23127,0,1
24685,0,1
24623,1,2
23445,2,2
23070,2,1
23442,1,1
23581,1,2
23695,2,2
23181,1,2
22991,0,0
23952,2,2
23615,1,2
24178,1,1
22953,0,0
24038,0,1
24056,0,1
23282,1,1
24513,1,2
23717,2,1
24592,2,2
24724,2,2
24682,1,0
24554,1,1
24260,1,1
23563,1,1
24232,0,1
23169,1,2
23991,0,0
23317,1,2
24512,2,2
23977,0,1
23491,0,2
24425,0,1
24430,1,1
22958,1,1
23881,2,2
23275,1,1
23842,1,2
23553,1,0
24748,0,0
24707,1,1
24264,1,0
24526,2,2
24655,1,1
24489,1,2
24051,2,2
24348,0,2
23186,0,0
24428,1,1
24588,1,1
22975,1,1
24085,2,2
23466,2,2
24035,0,1
23910,2,2
24172,2,1
23733,0,0
23740,1,1
23082,0,1
24173,2,2
24734,2,2
24345,2,2
24574,0,0
23279,2,2
24237,2,2
23265,2,2
23176,1,1
23048,0,0
24499,0,0
23138,1,1
23962,0,0
23995,1,1
23235,2,2
24637,1,0
23693,0,1
23769,0,0
24147,2,2
23829,2,2
24149,2,1
24481,0,0
23490,1,2
24055,0,0
24725,1,0
24477,1,1
23457,2,1
24742,2,2
23494,0,0
23244,1,1
23891,0,1
24268,2,2
23762,1,1
23974,0,0
24294,2,2
23387,1,1
23596,2,2
24422,0,0
24113,1,1
23384,2,1
23087,0,1
23500,0,1
23773,2,1
23598,2,1
24600,0,0
24733,0,0
23421,2,2
23066,1,1
24541,0,1
24525,1,2
23616,1,2
24354,2,1
23401,1,1
24092,0,2
24361,1,1
24262,2,2
23504,1,1
23729,2,2
23898,0,1
23286,0,1
24744,0,0
24445,0,1
24045,2,1
23302,2,1
24252,1,2
24199,1,1
23098,1,0
24279,0,1
24351,1,1
24389,1,1
23498,1,1
24324,2,2
23381,0,1
23679,2,2
23710,2,2
23285,2,2
23699,2,2
24660,1,2
24253,1,0
23880,1,1
24706,0,0
24699,2,2
23158,1,1
24729,2,2
23115,2,2
23544,1,1
24535,1,1
23418,1,1
24306,2,1
23045,1,2
23094,1,1
24394,0,0
23345,2,2
24134,2,2
23692,1,0
24218,2,2
24239,2,1
24650,2,2
23552,2,1
24082,1,1
23113,1,1
23727,2,2
23207,1,1
24050,0,0
23892,1,2
24446,0,1
23040,2,2
24604,2,2
23493,1,1
24188,2,2
23656,1,2
24687,2,2
23687,2,2
23150,0,1
23730,0,0
23141,1,1
24740,0,1
23641,1,1
24515,0,2
23392,2,2
23270,1,1
24715,2,2
23648,1,1
23817,1,0
24381,1,1
23278,2,2
24602,1,2
24506,0,0
22965,0,0
24609,2,2
23521,2,2
24158,1,1
23871,2,2
23403,1,1
23811,2,2
24737,2,2
24388,1,1
24282,2,2
24418,1,1
23359,1,1
24101,2,0
23006,1,1
24184,0,0
23986,2,1
23428,0,1
23399,0,0
23143,0,1
23013,2,2
23017,1,1
23816,1,2
24161,1,1
23130,1,1
24068,2,2
24468,2,2
24337,0,1
23161,1,1
24460,0,1
23237,2,1
23409,2,2
23453,2,2
23515,2,1
24470,2,2
23003,0,1
23180,0,1
24261,0,0
